1,"Design Theory, Modeling and the Application for the Internet of Things Service",尚小溥,"张润彤,朱晓敏,周荃",Enterprise Information Systems,15-Jun,10.1080/17517575期
2,A study on an energy conservation and interconnection scheme between WSN and Internet based on the 6LoWPAN,张润彤,"褚夫志,袁泉,戴伟",Mobile Information Systems journal,15-Feb,3期
3,Study on the Project Supervision System Based on the Principal-Agent Theory,张润彤,"周阳,庄红男,朱晓敏",Journal of Industrial Engineering and Management,15-Jan,2015 – 8期
4,An Intra-PAN Mobility Management Scheme for IPv6 over Low-Power Wireless Personal Area Networks,尚小溥,"张润彤,李小龙",Chinese Journal of Electronics,14-Oct,4期
5,A Personalized Recommendation Model in E Commerce Based on TOPSIS Algorithm,王亮,"张润彤,H",Journal of E-Commerce in Organizations,14-Jun,2期
6,Study on Classification of China Seaports Development Types Based on Clustering Analysis,褚夫志,"张润彤,王碧鹤,戴伟",Advance in Transportation Studies,14-Apr,1期
7,Resource Management Using Borrowing from Reservation for Cognitive Networks,李丹丹,"张润彤,尚小溥,陈颖",High Technology Letters,13-Sep,No.3期
8,An inter-PAN mobility support scheme for IP-based wireless sensor networks and its applications,尚小溥,"张润彤,褚夫志",Information Technology and Management,13-Mar,No. 1期
9,Efficient Group Key Management Scheme with Hierarchy Structure,李丹丹,"张润彤,王传臣",Chinese Journal of Electronics,12-Feb,2期
10,The Comparative Study of Supply Chain between Traditional and Electronic Publishing Industry,王传臣,"张润彤,李丹丹",Advances in Information Sciences and Service sciences,11-Jul,6期
11,A New Model based on Neural Network for Network Traffic Prediction,李丹丹,"张润彤,尙小溥",Advances in Information Sciences and Service Sciences,11-Jul,6期
12,Agent-based EPC-RFID Network for Smart Awareness System,张润彤,"尙小溥,陈颖,陈东华",Advances in Information Sciences and Service Science,11-Jul,6期
